jour,A,B,C,D,E,F,G,H,I,J,K
132,4,0,0,3,0,0,0,0,0,0,2
133,3,0,0,2,0,0,0,0,0,0,2
134,3,0,0,2,0,0,0,0,0,0,2
135,3,0,0,2,0,0,0,0,0,0,2
136,3,0,0,2,0,0,0,0,0,0,2
137,3,0,0,2,0,0,0,0,0,0,2
138,3,0,0,2,0,0,0,0,0,0,2
139,3,0,0,2,0,0,0,0,0,0,2
140,4,0,0,1,0,0,0,0,0,0,2
141,4,0,0,1,0,0,0,0,0,0,2
142,4,0,0,1,0,0,0,0,0,0,2
143,4,0,0,1,0,0,0,0,0,0,2
144,4,0,0,1,0,0,0,0,0,0,2
145,4,0,1,0,0,0,0,0,0,0,2
146,3,0,1,0,0,0,0,0,0,0,2
147,4,0,0,0,0,0,0,0,0,0,2
148,3,0,0,1,0,0,0,0,0,0,1
149,2,0,0,1,0,0,0,0,0,0,1
150,2,0,0,1,0,0,0,0,0,0,1
151,2,0,0,1,0,0,0,0,0,0,1
152,2,0,0,1,0,0,0,0,0,0,1
153,2,0,0,1,0,0,0,0,0,0,1
154,2,0,0,1,0,0,0,0,0,0,1
155,2,0,0,1,0,0,0,0,0,0,1
156,2,0,0,1,0,0,0,0,0,0,1
157,2,0,0,1,0,0,0,0,0,0,1
158,2,0,0,1,0,0,0,0,0,0,1
159,2,0,0,1,0,0,0,0,0,0,1
160,1,0,0,1,0,0,0,0,0,0,1
161,1,0,0,1,0,0,0,0,0,0,1
162,1,0,0,1,0,0,0,0,0,0,1
163,1,0,0,1,0,0,0,0,0,0,1
164,1,0,0,1,0,0,0,0,0,0,1
165,1,0,0,1,0,0,0,0,0,0,0
166,1,0,0,1,0,0,0,0,0,0,0
167,1,0,0,1,0,0,0,0,0,0,0
168,1,0,0,1,0,0,0,0,0,0,0
169,1,0,0,1,0,0,0,0,0,0,0
170,0,0,0,1,0,0,0,0,0,0,0
171,0,0,0,1,0,0,0,0,0,0,0
172,0,0,0,1,0,0,0,0,0,0,0
173,0,0,0,1,0,0,0,0,0,0,0
174,0,0,0,1,0,0,0,0,0,0,0
175,0,0,0,1,0,0,0,0,0,0,0
176,0,0,0,1,0,0,0,0,0,0,0
177,0,0,0,1,0,0,0,0,0,0,0
178,0,0,0,1,0,0,0,0,0,0,0
179,0,0,0,1,0,0,0,0,0,0,0
180,0,0,0,1,0,0,0,0,0,0,0
181,0,0,0,1,0,0,0,0,0,0,0
182,0,0,0,1,0,0,0,0,0,0,0
183,0,0,0,1,0,0,0,0,0,0,0
184,0,0,0,1,0,0,0,0,0,0,0
185,0,0,0,1,0,0,0,0,0,0,0
186,0,0,0,1,0,0,0,0,0,0,0
187,0,0,0,1,0,0,0,0,0,0,0
188,0,0,0,1,0,0,0,0,0,0,0
189,0,0,0,1,0,0,0,0,0,0,0
190,0,0,0,1,0,0,0,0,0,0,0
191,0,0,0,1,0,0,0,0,0,0,0
192,0,0,0,1,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,1,0,0
194,0,0,0,0,0,0,0,0,1,0,0
195,0,0,0,0,0,0,0,0,1,0,0
196,0,0,0,0,0,0,0,0,0,0,1
197,0,0,0,0,0,0,0,0,1,0,0
198,0,0,0,0,0,0,0,0,1,0,0
199,0,0,0,0,0,0,0,0,1,0,0
200,0,0,0,0,0,0,0,0,0,0,1
201,0,0,0,0,0,0,0,0,1,0,0
202,0,0,0,0,0,0,0,0,1,0,0
203,0,0,0,0,0,0,0,0,1,0,0
204,0,0,0,0,0,0,0,0,1,0,0
205,0,0,0,0,0,0,0,0,1,0,0
206,0,0,0,0,0,0,0,0,1,0,0
207,0,0,0,0,0,0,0,0,1,0,0
208,0,0,0,0,0,0,0,0,1,0,0
209,0,0,0,0,0,0,0,0,1,0,0
210,0,0,0,0,0,0,0,0,1,0,0
211,0,0,0,0,0,0,0,0,1,0,0
212,0,0,0,0,0,0,0,0,1,0,0
213,1,0,0,0,0,0,0,0,0,0,0
214,1,0,0,0,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,0,0,0,0
216,1,0,0,0,0,0,0,0,0,0,0
217,1,0,0,0,0,0,0,0,0,0,0
218,1,0,0,0,0,0,0,0,0,0,0
219,1,0,0,0,0,0,0,0,0,0,0
220,1,0,0,0,0,0,0,0,0,0,0
221,1,0,0,0,0,0,0,0,0,0,0
222,1,0,0,0,0,0,0,0,0,0,0
223,1,0,0,0,0,0,0,0,0,0,0
224,1,0,0,0,0,0,0,0,0,0,0
225,1,0,0,0,0,0,0,0,0,0,0
226,1,0,0,0,0,0,0,0,0,0,0
227,1,0,0,0,0,0,0,0,0,0,0
228,1,0,0,0,0,0,0,0,0,0,0
229,1,0,0,0,0,0,0,0,0,0,0
230,1,0,0,0,0,0,0,0,0,0,0
231,1,0,0,0,0,0,0,0,0,0,0
232,1,0,0,0,0,0,0,0,0,0,0
233,1,0,0,0,0,0,0,0,0,0,0
234,1,0,0,0,0,0,0,0,0,0,0
235,1,0,0,0,0,0,0,0,0,0,0
236,1,0,0,0,0,0,0,0,0,0,0
237,1,0,0,0,0,0,0,0,0,0,0
238,1,0,0,0,0,0,0,0,0,0,0
239,1,0,0,0,0,0,0,0,0,0,0
240,1,0,0,0,0,0,0,0,0,0,0
241,1,0,0,0,0,0,0,0,0,0,0
